Filing Period,Taxable Amount,Total AmountDue,Date Paid,Name,Street Address,City,State,Zip
23-Aug,8112.42,2433.72,9/22/2023,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
23-Jul,7441.23,2232.36,9/22/2023,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
22-Sep,4722.47,1416.74,1/20/2023,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
22-Jun,4552.06,1365.61,1/20/2023,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
22-Jul,4349.96,1304.98,1/20/2023,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
22-Aug,4092.6,1227.78,1/20/2023,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
23-Nov,1625.5,487.65,12/18/2023,smokeisland3 inc,815 hungerford drive,Rockville,Montgomery,20850
22-Dec,51.6,15.48,1/19/2023,"RJR Vapor Co., LLC",P.O. Box 2959,Winston Salem,NC,27101-2959
23-Nov,1812,543.6,12/18/2023,Smoke island1 inc,9439 Georgia ave,Silver Spring,Maryland,20910
22-Dec,1435.04,430.51,1/26/2023,HS Wholesale Limited,511 S. Vista Ave,Addison,Illinois,60101
22-Dec,13254.57,3976.37,1/27/2023,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
23-Aug,5074.73,1522.41,9/22/2023,HS Wholesale Limited,511 S. Vista Ave,Addison,Illinois,60101
23-Oct,9239.93,2771.97,11/17/2023,George J. Falter,3501 Benson Ave,Baltimore,MD,21227
23-May,6475.13,1942.53,6/20/2023,HS Wholesale Limited,511 S. Vista Ave,Addison,Illinois,60101
23-May,2907.9,872.37,6/16/2023,Eby Brown Company,1415 W Diehl Rd- STE 300N,Naperville,IL,60563-1197
23-May,318.23,95.46,6/16/2023,"K & E Tobacco, LLC",13842 Outlet Drive Unit C,Silver Spring,MD,20904
23-May,18499.09,5549.72,6/15/2023,George J. Falter,3501 Benson Ave,Baltimore,MD,21227
23-Jan,1349.5,404.85,2/13/2023,smoke island8 inc,2567 Ennalls ave,Wheaton,MD,20902
23-Jan,132697.24,39809.17,2/16/2023,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
23-Jan,3849.25,1154.77,2/12/2023,Smoke island1 inc,9439 Georgia ave,Silver Spring,Maryland,20910
23-Jan,5525.5,1657.65,2/12/2023,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
23-Jan,23953.68,7186.1,2/14/2023,George J. Falter,3501 Benson Ave,Baltimore,MD,21227
23-Jan,2110.5,633.15,2/12/2023,smoke island6 inc,7913 Norfolk ave,Bethesda,MD,20814
