Filing Period,Taxable Amount,Total AmountDue,Date Paid,Name,Street Address,City,State,Zip
18-Mar,13658.65,4097.59,4/16/2018,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
18-Mar,237.5,71.25,4/18/2018,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,Keene,New Hampshire,3431
18-Mar,166.25,49.87,4/4/2018,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
18-Mar,46264.27,13879.28,4/20/2018,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
18-Mar,23.04,6.91,4/25/2018,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,Baltimore,MD,21230
18-Mar,23110.37,6933.11,4/26/2018,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
18-Mar,1467.1,440.13,4/24/2018,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
18-Mar,68498.96,20549.68,4/18/2018,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
18-Mar,1041.73,312.51,4/13/2018,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
18-Mar,3854.12,1156.23,4/7/2018,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
20-Nov,5753.86,1726.15,12/18/2020,"RJR Vapor Co., LLC",P.O. Box 2959,Winston Salem,NC,27101-2959
18-Mar,789.43,236.82,4/30/2018,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
18-Mar,3170,951,4/28/2018,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
18-Mar,934,280.2,4/30/2018,VapeCulture LLC,18959 Bonanza Way,Gaithersburg,MD,20879
18-Mar,5965,1789.5,5/1/2018,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
18-Apr,118.75,35.62,5/2/2018,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
18-Apr,658.55,197.56,5/2/2018,Noon LLC,7902 georgia ave,silver spring,md,20910
18-Jul,3195,958.5,9/13/2018,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
18-Aug,256.75,77.02,9/3/2018,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
18-Apr,14727,4418.1,5/7/2018,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
18-Apr,701.16,210.34,5/10/2018,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
18-Apr,47.5,14.25,5/16/2018,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,Keene,New Hampshire,3431
18-Apr,10118.45,3035.53,5/16/2018,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
18-Apr,521.6,156.48,5/17/2018,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
18-Aug,12682.25,3804.67,9/14/2018,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
18-Nov,2130.5,639.15,12/9/2018,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
19-Feb,2479,743.7,3/4/2019,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
19-Feb,109,32.7,3/4/2019,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
19-Feb,10115,3034.5,3/7/2019,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
19-Feb,2043.06,612.91,3/13/2019,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
19-Feb,3439.02,1031.7,3/18/2019,"Blue Monkey Vapes, Inc.",11160 Veirs Mill Road,Wheaton,Maryland,20902
19-Feb,8299.42,2489.82,3/18/2019,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
19-Aug,7523.86,2257.15,9/17/2019,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
19-Feb,5316.08,1594.82,3/18/2019,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
20-Nov,19680.95,5904.28,12/18/2020,Avail Vapor LLC,820 Southlake Blvd,North Chesterfield,Virginia,23236
19-Apr,4348.76,1304.62,5/10/2019,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
19-Apr,2932,879.6,5/13/2019,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
19-Apr,688.09,206.42,5/15/2019,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
19-Apr,720.45,216.13,5/16/2019,"Main St. Cigars & Vapes, LLC",400 Main St.,Gaithersburg,MD,20878
19-Feb,659.23,197.76,5/16/2019,"Main St. Cigars & Vapes, LLC",400 Main St.,Gaithersburg,MD,20878
19-Jun,270892.93,81267.87,7/15/2019,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
20-Jun,3903.84,1171.15,7/23/2020,"RJR Vapor Co., LLC",P.O. Box 2959,Winston Salem,NC,27101-2959
20-Sep,2501.88,750.56,10/18/2020,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
18-Apr,43976.47,13192.94,5/21/2018,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
18-Apr,3138.04,941.41,5/11/2018,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
18-Apr,17562.67,5268.8,5/29/2018,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
18-Apr,79021.46,23706.43,5/18/2018,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
18-Apr,579,173.7,5/29/2018,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
18-Apr,17210.81,5163.24,5/2/2018,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
18-Apr,6550,1965,5/31/2018,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
18-Apr,92.17,27.65,5/31/2018,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,Baltimore,MD,21230
18-Apr,562.76,168.82,5/31/2018,VapeCulture LLC,18959 Bonanza Way,Gaithersburg,MD,20879
18-May,15061.12,4518.33,6/2/2018,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
18-May,662.33,198.69,6/5/2018,Noon LLC,7902 georgia ave,silver spring,md,20910
18-May,600,180,6/11/2018,Cosmic Fog Vapors,3115 Airway Avenue,Costa Mesa,CA,92626
18-May,95,28.5,6/11/2018,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,Keene,New Hampshire,3431
18-May,1274,382.2,6/13/2018,"Main St. Cigars & Vapes, LLC",400 Main St.,Gaithersburg,MD,20878
18-Apr,1394,418.2,6/13/2018,"Main St. Cigars & Vapes, LLC",400 Main St.,Gaithersburg,MD,20878
18-Apr,3297,989.1,6/13/2018,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
18-May,947.93,284.37,6/14/2018,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
18-Aug,9688.05,2906.41,9/17/2018,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
18-Jul,768,230.4,9/18/2018,"Main St. Cigars & Vapes, LLC",400 Main St.,Gaithersburg,MD,20878
18-Aug,3236.89,971.06,9/8/2018,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
18-Aug,8453.7,2536.11,9/26/2018,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
18-Nov,2920.42,876.12,12/11/2018,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
18-Nov,2850.41,855.12,12/13/2018,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
18-Nov,56.25,16.87,12/3/2018,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
18-Nov,7789.32,2336.79,12/17/2018,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
18-Oct,796.13,238.83,12/18/2018,"Main St. Cigars & Vapes, LLC",400 Main St.,Gaithersburg,MD,20878
18-Nov,710.25,213.07,12/18/2018,"Main St. Cigars & Vapes, LLC",400 Main St.,Gaithersburg,MD,20878
18-Nov,2958.64,887.59,12/14/2018,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
18-Nov,33988.56,10196.56,12/18/2018,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
16-Mar,212.65,63.79,4/14/2016,Vapor Supply LLC,2121 S Portland Ave,Oklahoma City,OK,73108
17-Nov,210,63,12/19/2017,Vapor Supply LLC,2121 S Portland Ave,Oklahoma City,OK,73108
18-Nov,3857.81,1157.34,12/19/2018,"Blue Monkey Vapes, Inc.",11160 Veirs Mill Road,Wheaton,Maryland,20902
18-Nov,816,244.8,12/19/2018,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
20-Sep,1275.94,382.78,10/13/2020,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
18-Oct,1197.02,359.1,12/26/2018,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
18-Nov,1304.78,391.43,12/26/2018,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
18-Nov,13676.14,4102.84,12/27/2018,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
18-Nov,93580.5,28074.15,12/5/2018,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
18-Nov,216444.7,64933.41,12/7/2018,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
19-Mar,721.89,216.56,5/16/2019,"Main St. Cigars & Vapes, LLC",400 Main St.,Gaithersburg,MD,20878
19-Jun,1188.67,356.6,7/17/2019,"RJR Vapor Co., LLC",P.O. Box 2959,Winston Salem,NC,27101-2959
19-Oct,5082.67,1524.8,11/14/2019,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
16-Aug,32.5,9.75,9/16/2016,Vapor Supply LLC,2121 S Portland Ave,Oklahoma City,OK,73108
19-Aug,442.39,132.71,9/19/2019,"Blue Monkey Vapes, Inc.",11160 Veirs Mill Road,Wheaton,Maryland,20902
16-Jul,18.76,5.62,9/7/2016,Vapor Supply LLC,2121 S Portland Ave,Oklahoma City,OK,73108
18-May,118.75,35.62,6/1/2018,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
18-Aug,95,28.5,9/27/2018,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,Keene,New Hampshire,3431
21-Nov,6590.93,1977.27,12/21/2021,George J. Falter,3501 Benson Ave,Baltimore,MD,21227
18-Aug,220151.93,66045.57,9/21/2018,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
18-Aug,92.16,27.64,9/28/2018,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,Baltimore,MD,21230
18-Aug,69777.9,20933.37,9/5/2018,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
18-Aug,1153.2,345.96,9/18/2018,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
18-Nov,95,28.5,12/28/2018,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,Keene,New Hampshire,3431
18-Aug,1039.17,311.75,9/30/2018,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
18-Sep,1678.2,503.46,10/3/2018,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
18-Aug,40283.47,12085.04,10/3/2018,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
19-Aug,17270.87,5181.26,9/20/2019,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
18-May,8999.24,2699.77,6/17/2018,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
18-May,41771.93,12531.57,6/20/2018,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
18-May,1786.11,535.83,6/20/2018,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
18-May,31031.31,9309.39,6/6/2018,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
18-May,14189.74,4256.92,6/25/2018,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
18-May,713.27,213.98,6/26/2018,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
18-Apr,704.78,211.43,6/26/2018,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
18-May,69.12,20.73,6/28/2018,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,Baltimore,MD,21230
18-May,145430.16,43629.04,6/15/2018,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
18-May,2978,893.4,6/29/2018,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
18-May,413.03,123.9,6/29/2018,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
18-May,3883.13,1164.93,6/9/2018,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
18-Aug,7354,2206.2,10/1/2018,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
18-Aug,3698,1109.4,10/1/2018,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
18-Sep,2190.62,657.18,10/5/2018,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
18-Nov,3490,1047,12/31/2018,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
18-Nov,46.08,13.82,12/31/2018,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,Baltimore,MD,21230
18-Nov,6285,1885.5,1/1/2019,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
19-Apr,1295.13,388.53,5/20/2019,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
19-Apr,8659.12,2597.73,5/18/2019,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
19-Jun,249.55,74.86,7/3/2019,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
19-Jun,8322.17,2496.65,7/18/2019,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
19-Aug,5807.66,1742.29,9/12/2019,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
18-May,5460,1638,6/30/2018,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
18-Sep,892.92,267.87,10/9/2018,Noon LLC,7902 georgia ave,silver spring,md,20910
18-Sep,9128,2738.4,10/10/2018,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
18-Sep,1470,441,10/11/2018,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
20-Jan,2631,789.3,2/3/2020,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
20-Sep,60838.34,18251.5,10/8/2020,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
18-Sep,95,28.5,10/4/2018,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
18-Sep,2869,860.7,10/18/2018,"Blue Monkey Vapes, Inc.",11160 Veirs Mill Road,Wheaton,Maryland,20902
21-Nov,5650.28,1695.08,12/27/2021,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
18-Sep,57395.77,17218.73,10/3/2018,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
18-Sep,2994.94,898.48,10/6/2018,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
18-Sep,37697.46,11309.23,10/22/2018,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
18-Sep,787.25,236.17,10/24/2018,"Main St. Cigars & Vapes, LLC",400 Main St.,Gaithersburg,MD,20878
18-Aug,865.66,259.69,10/24/2018,"Main St. Cigars & Vapes, LLC",400 Main St.,Gaithersburg,MD,20878
19-Apr,28.5,8.55,5/20/2019,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,Keene,New Hampshire,3431
18-Sep,152860.4,45858.12,10/19/2018,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
18-Sep,142.5,42.75,10/29/2018,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,Keene,New Hampshire,3431
18-Sep,8742.62,2622.78,10/27/2018,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
18-Aug,1493.97,448.19,10/29/2018,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
18-Sep,1993.4,598.02,10/30/2018,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
18-Sep,5881.5,1764.45,10/30/2018,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
18-Sep,1364.79,409.43,10/29/2018,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
18-Sep,3398,1019.4,10/30/2018,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
18-Sep,46.08,13.82,10/31/2018,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,Baltimore,MD,21230
18-Sep,6632,1989.6,10/31/2018,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
18-Oct,865.44,259.63,11/6/2018,Noon LLC,7902 georgia ave,silver spring,md,20910
18-May,508.75,152.62,6/30/2018,VapeCulture LLC,18959 Bonanza Way,Gaithersburg,MD,20879
18-Jun,451.32,135.39,7/2/2018,Noon LLC,7902 georgia ave,silver spring,md,20910
18-Oct,1389.38,416.81,11/7/2018,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
18-Dec,2357.9,707.37,1/6/2019,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
18-Dec,14395.29,4318.58,1/6/2019,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
19-Apr,9601.85,2880.55,5/20/2019,"Blue Monkey Vapes, Inc.",11160 Veirs Mill Road,Wheaton,Maryland,20902
19-Apr,1055.47,316.64,5/23/2019,"RJR Vapor Co., LLC",P.O. Box 2959,Winston Salem,NC,27101-2959
19-Apr,385,115.5,5/24/2019,Cosmic Fog Vapors,3115 Airway Avenue,Costa Mesa,CA,92626
19-Apr,38889.85,11666.95,5/24/2019,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
19-Apr,97558.2,29267.46,5/2/2019,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
19-Apr,13372.74,4011.82,5/30/2019,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
19-Apr,4106.87,1232.06,5/11/2019,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
19-Apr,244718.46,73415.53,5/13/2019,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
19-Apr,8439,2531.7,5/31/2019,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
19-Apr,3762,1128.6,6/1/2019,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
19-May,2346,703.8,6/6/2019,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
19-May,15648.18,4694.45,6/6/2019,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
19-May,23.75,7.12,6/3/2019,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
21-Jan,180,54,2/25/2021,Cosmic Fog Vapors,3115 Airway Avenue,Costa Mesa,CA,92626
19-May,901,270.3,6/14/2019,"RJR Vapor Co., LLC",P.O. Box 2959,Winston Salem,NC,27101-2959
19-Dec,5319,1595.7,1/31/2020,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
19-Jun,5503.99,1651.19,7/3/2019,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
18-Jun,15279.31,4583.79,7/7/2018,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
18-Jun,95,28.5,7/13/2018,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,Keene,New Hampshire,3431
20-Sep,420,126,10/21/2020,Cosmic Fog Vapors,3115 Airway Avenue,Costa Mesa,CA,92626
18-Jun,122.25,36.67,7/4/2018,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
18-Jun,1895.5,568.65,7/19/2018,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
18-Jun,9425.98,2827.79,7/19/2018,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
18-Jun,43409.98,13022.99,7/20/2018,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
18-Jun,3135.88,940.76,7/7/2018,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
20-Nov,54376.67,16313,12/3/2020,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
21-Nov,6948.53,2084.55,12/28/2021,Link Distribution Inc.,480 N York Road,Bensenville,IL,60106
19-Apr,193.78,58.13,6/16/2019,Downtown Vapor Company,8644 Colesville Road,Silver Spring,Maryland,20910
18-Jun,621.08,186.32,7/23/2018,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
18-Jun,4406.74,1322.02,7/24/2018,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
18-Jun,46900.2,14070.06,7/5/2018,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
18-Jun,154727,46418.1,7/17/2018,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
18-Jun,161.28,48.38,7/30/2018,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,Baltimore,MD,21230
18-Jun,1362.83,408.84,7/30/2018,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
18-Jun,3377,1013.1,7/31/2018,Vapor worldwide,15906 Shady Grove,Gaithersburg,Maryland,20877
18-Jul,504,151.2,8/1/2018,Cosmic Fog Vapors,3115 Airway Avenue,Costa Mesa,CA,92626
18-Jun,3170,951,7/31/2018,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
18-Jul,427.27,128.18,8/1/2018,Noon LLC,7902 georgia ave,silver spring,md,20910
18-Jun,429.3,128.79,7/31/2018,VapeCulture LLC,18959 Bonanza Way,Gaithersburg,MD,20879
18-Jul,2259,677.7,8/4/2018,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
18-Oct,2300.83,690.24,11/9/2018,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
18-Jun,1219.8,365.94,8/7/2018,"Main St. Cigars & Vapes, LLC",400 Main St.,Gaithersburg,MD,20878
18-Jun,893.45,268.03,8/6/2018,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
18-Jul,912.87,273.86,8/6/2018,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
18-Jun,1520.39,456.11,8/9/2018,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
18-Jul,1800.05,540.01,8/9/2018,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
18-Dec,2070.68,621.2,1/8/2019,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
18-Dec,95,28.5,1/2/2019,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
19-May,167.98,50.39,6/16/2019,Downtown Vapor Company,8644 Colesville Road,Silver Spring,Maryland,20910
19-Mar,328.64,98.59,6/16/2019,Downtown Vapor Company,8644 Colesville Road,Silver Spring,Maryland,20910
19-Mar,475.23,142.56,6/16/2019,Bethesda Vapor Company,4823 Fairmont Ave.,Bethesda,Maryland,20814
19-Jun,3494.08,1048.22,7/8/2019,SAMS EAST INC,705 SW 8th Street,Bentonville,AR,72716-0555
19-Jun,122806.24,36841.87,7/2/2019,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
19-Aug,1633.6,490.08,9/23/2019,"RJR Vapor Co., LLC",P.O. Box 2959,Winston Salem,NC,27101-2959
19-Aug,14452.5,4335.75,9/25/2019,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
19-Aug,123071.74,36921.52,9/4/2019,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
19-Aug,2816.72,845.01,9/7/2019,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
19-Aug,491,147.3,9/28/2019,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
19-Aug,5675,1702.5,10/1/2019,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
19-Sep,2869,860.7,10/3/2019,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
19-Sep,11148.99,3344.69,10/5/2019,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
18-Jul,8532.92,2559.87,8/12/2018,MJ Vape LLC,19328 Montgomery Village Ave,Gaithersburg,Maryland,20886
18-Jul,352.26,105.67,8/1/2018,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
20-May,84877.87,25463.36,6/3/2020,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
21-Jan,5452.1,1635.63,2/25/2021,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
18-Jul,3169.18,950.75,8/11/2018,"Airpark Vapor, LLC",9871 Main Street,Damascus,MD,20872
18-Jul,13016.96,3905.08,8/26/2018,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
18-Jul,213.75,64.12,8/27/2018,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,Keene,New Hampshire,3431
18-Jul,163597.7,49079.31,8/9/2018,"McLane/Mid-Atlantic, Inc.",56 McLane Drive,Fredericksburg,Virginia,22406
18-Jul,6336.84,1901.05,8/28/2018,Cooper-Booth Wholesale Co. LP,200 Lincoln West Drive,Mountville,PA,17554
18-Jul,1639.17,491.75,8/28/2018,"Double Tree USA, Inc",1772 Sulphur Spring Road STE 103,Halethorpe,Maryland,21227
18-Jul,59238.84,17771.65,8/2/2018,Century Distributors,15710 Crabbs Branch Way,Rockville,Maryland,20855
18-Jul,69.12,20.73,8/31/2018,Triple C Wholesalers Inc,2801 W Patapsco Ave #B,Baltimore,MD,21230
18-Jul,1233.26,369.97,8/6/2018,George J. Falter Co. Inc.,3501 Benson Avenue,Baltimore,MD,21227
18-Jul,7430,2229,8/31/2018,Vape Social,16521 S Frederick Ave,Gaithersburg,md,20877
19-Jul,23.75,7.12,8/28/2019,"C&S Wholesale Grocers, Inc. (AWI)",10 Optical Avenue,Keene,New Hampshire,3431
18-Jul,40082.66,12024.79,9/5/2018,"AVAIL Vapor, LLC",820 Southlake Blvd,Richmond,Virginia,23236
18-Aug,751.04,225.31,9/5/2018,Noon LLC,7902 georgia ave,silver spring,md,20910
18-Aug,1908.79,572.63,9/6/2018,Vape Ink LLC,765 Rockville Pike,Rockville,Maryland,20852
18-Aug,1377.9,413.37,9/7/2018,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
18-Oct,9485.67,2845.7,11/11/2018,Status Smoke LLC,16125 Shady Grove Road,Gaithersburg,MD,20877
18-Oct,1419.75,425.92,11/12/2018,smoke Island inc,11230 Georgia ave,silver spring,MD,20902
18-Oct,47.5,14.25,11/1/2018,"Delhaize America Distribution, LLC",1703 East D Street,Butner,NC,27509
